timestamp,machine_id,batch_id,state,fault_code,cycle_count,cycle_time_sec,output_rate_per_hr,units_produced_total,units_produced_batch,good_count,reject_count,units_since_tool_change,tool_change_count,downtime_seconds
2025-10-09T08:53:20Z,M-100,BATCH-1000,FAULT,POSITION_ERROR,0,,0,0,0,0,3,0,0,260.4
2025-10-09T08:53:25Z,M-101,BATCH-1001,RUNNING,NONE,1,9.23,390.0,1,0,0,0,1,0,72.8
2025-10-09T08:53:30Z,M-102,BATCH-1002,RUNNING,NONE,2,11.65,309.0,2,0,1,3,2,0,5.6
2025-10-09T08:53:35Z,M-103,BATCH-1003,RUNNING,NONE,3,9.54,377.4,3,0,3,0,3,0,75.8
2025-10-09T08:53:40Z,M-104,BATCH-1004,RUNNING,NONE,4,18.72,192.3,4,0,2,3,4,0,4.0
2025-10-09T08:53:45Z,M-100,BATCH-1005,RUNNING,NONE,5,11.76,306.1,5,1,4,3,5,0,11.5
2025-10-09T08:53:50Z,M-101,BATCH-1006,RUNNING,NONE,6,10.0,360.0,6,1,4,1,6,0,8.2
2025-10-09T08:53:55Z,M-102,BATCH-1007,RUNNING,NONE,7,17.71,203.3,7,1,6,0,7,0,43.8
2025-10-09T08:54:00Z,M-103,BATCH-1000,RUNNING,NONE,8,9.07,396.9,8,1,6,1,8,0,39.7
2025-10-09T08:54:05Z,M-104,BATCH-1001,RUNNING,NONE,9,17.04,211.3,9,1,8,3,9,0,28.9
2025-10-09T08:54:10Z,M-100,BATCH-1002,RUNNING,NONE,10,12.22,294.6,10,2,8,1,10,0,6.5
2025-10-09T08:54:15Z,M-101,BATCH-1003,RUNNING,NONE,11,13.1,274.8,11,2,10,3,11,0,23.0
2025-10-09T08:54:20Z,M-102,BATCH-1004,RUNNING,NONE,12,24.66,146.0,12,2,10,3,12,0,13.2
2025-10-09T08:54:25Z,M-103,BATCH-1005,IDLE,NONE,12,,0,13,2,13,3,13,0,168.7
2025-10-09T08:54:30Z,M-104,BATCH-1006,RUNNING,NONE,14,24.35,147.8,14,2,12,2,14,0,27.2
2025-10-09T08:54:35Z,M-100,BATCH-1007,RUNNING,NONE,15,13.95,258.1,15,3,13,3,15,0,5.5
2025-10-09T08:54:40Z,M-101,BATCH-1000,RUNNING,NONE,16,9.59,375.4,16,3,15,0,16,0,4.9
2025-10-09T08:54:45Z,M-102,BATCH-1001,FAULT,POSITION_ERROR,16,,0,17,3,15,3,17,0,113.8
2025-10-09T08:54:50Z,M-103,BATCH-1002,RUNNING,NONE,18,14.56,247.3,18,3,18,3,18,0,28.4
2025-10-09T08:54:55Z,M-104,BATCH-1003,RUNNING,NONE,19,18.39,195.8,19,3,19,1,19,0,61.5
2025-10-09T08:55:00Z,M-100,BATCH-1004,RUNNING,NONE,20,10.2,352.9,20,4,19,3,20,0,73.3
2025-10-09T08:55:05Z,M-101,BATCH-1005,RUNNING,NONE,21,16.44,219.0,21,4,20,3,21,0,44.0
2025-10-09T08:55:10Z,M-102,BATCH-1006,RUNNING,NONE,22,23.02,156.4,22,4,20,2,22,0,56.5
2025-10-09T08:55:15Z,M-103,BATCH-1007,MAINTENANCE,NONE,22,,0,23,4,21,3,23,0,383.1
2025-10-09T08:55:20Z,M-104,BATCH-1000,RUNNING,NONE,24,10.57,340.6,24,4,24,1,24,0,52.7
2025-10-09T08:55:25Z,M-100,BATCH-1001,RUNNING,NONE,25,8.21,438.5,25,5,24,2,25,0,0.3
2025-10-09T08:55:30Z,M-101,BATCH-1002,IDLE,NONE,25,,0,26,5,24,2,26,0,243.9
2025-10-09T08:55:35Z,M-102,BATCH-1003,RUNNING,NONE,27,13.42,268.3,27,5,25,0,27,0,36.5
2025-10-09T08:55:40Z,M-103,BATCH-1004,RUNNING,NONE,28,22.81,157.8,28,5,27,3,28,0,31.5
2025-10-09T08:55:45Z,M-104,BATCH-1005,RUNNING,NONE,29,16.19,222.4,29,5,29,1,29,0,5.4
2025-10-09T08:55:50Z,M-100,BATCH-1006,RUNNING,NONE,30,11.55,311.7,30,6,30,2,30,0,48.1
2025-10-09T08:55:55Z,M-101,BATCH-1007,RUNNING,NONE,31,9.74,369.6,31,6,29,0,31,0,75.9
2025-10-09T08:56:00Z,M-102,BATCH-1000,RUNNING,NONE,32,18.43,195.3,32,6,32,3,32,0,11.9
2025-10-09T08:56:05Z,M-103,BATCH-1001,RUNNING,NONE,33,12.29,292.9,33,6,31,2,33,0,37.9
2025-10-09T08:56:10Z,M-104,BATCH-1002,FAULT,JAM_DETECTED,33,,0,34,6,33,3,34,0,192.2
2025-10-09T08:56:15Z,M-100,BATCH-1003,RUNNING,NONE,35,13.3,270.7,35,7,35,2,35,0,59.2
2025-10-09T08:56:20Z,M-101,BATCH-1004,RUNNING,NONE,36,16.14,223.0,36,7,34,0,36,0,16.4
2025-10-09T08:56:25Z,M-102,BATCH-1005,RUNNING,NONE,37,24.18,148.9,37,7,37,0,37,0,60.7
2025-10-09T08:56:30Z,M-103,BATCH-1006,RUNNING,NONE,38,13.07,275.4,38,7,36,2,38,0,41.5
2025-10-09T08:56:35Z,M-104,BATCH-1007,IDLE,NONE,38,,0,39,7,38,1,39,0,213.0
2025-10-09T08:56:40Z,M-100,BATCH-1000,RUNNING,NONE,40,21.24,169.5,40,8,38,1,40,0,49.1
2025-10-09T08:56:45Z,M-101,BATCH-1001,RUNNING,NONE,41,21.4,168.2,41,8,41,3,41,0,59.2
2025-10-09T08:56:50Z,M-102,BATCH-1002,RUNNING,NONE,42,11.85,303.8,42,8,41,0,42,0,79.2
2025-10-09T08:56:55Z,M-103,BATCH-1003,RUNNING,NONE,43,21.43,168.0,43,8,42,1,43,0,55.4
2025-10-09T08:57:00Z,M-104,BATCH-1004,RUNNING,NONE,44,24.26,148.4,44,8,42,2,44,0,76.4
2025-10-09T08:57:05Z,M-100,BATCH-1005,RUNNING,NONE,45,14.2,253.5,45,9,45,1,45,0,37.6
2025-10-09T08:57:10Z,M-101,BATCH-1006,MAINTENANCE,NONE,45,,0,46,9,46,3,46,0,249.6
2025-10-09T08:57:15Z,M-102,BATCH-1007,RUNNING,NONE,47,23.31,154.4,47,9,46,2,47,0,64.0
2025-10-09T08:57:20Z,M-103,BATCH-1000,RUNNING,NONE,48,9.44,381.4,48,9,47,1,48,0,38.2
2025-10-09T08:57:25Z,M-104,BATCH-1001,RUNNING,NONE,49,11.03,326.4,49,9,49,3,49,0,37.1
2025-10-09T08:57:30Z,M-100,BATCH-1002,RUNNING,NONE,50,20.64,174.4,50,10,48,1,50,0,13.6
2025-10-09T08:57:35Z,M-101,BATCH-1003,FAULT,MOTOR_OVERLOAD,50,,0,51,10,51,1,51,0,236.3
2025-10-09T08:57:40Z,M-102,BATCH-1004,IDLE,NONE,51,,0,52,10,50,1,52,0,244.6
2025-10-09T08:57:45Z,M-103,BATCH-1005,RUNNING,NONE,53,18.13,198.6,53,10,51,2,53,0,12.5
2025-10-09T08:57:50Z,M-104,BATCH-1006,RUNNING,NONE,54,17.32,207.9,54,10,54,0,54,0,42.1
2025-10-09T08:57:55Z,M-100,BATCH-1007,RUNNING,NONE,55,23.87,150.8,55,11,55,1,55,0,2.2
2025-10-09T08:58:00Z,M-101,BATCH-1000,RUNNING,NONE,56,11.62,309.8,56,11,54,2,56,0,20.7
2025-10-09T08:58:05Z,M-102,BATCH-1001,RUNNING,NONE,57,15.12,238.1,57,11,57,2,57,0,71.8
2025-10-09T08:58:10Z,M-103,BATCH-1002,RUNNING,NONE,58,19.26,186.9,58,11,56,1,58,0,42.5
2025-10-09T08:58:15Z,M-104,BATCH-1003,RUNNING,NONE,59,16.9,213.0,59,11,58,1,59,0,48.7
